path,function,time,blocks,matrix
./data/kernels/14324/0/main.cu,sum,16.001,"(1, 960)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,16.821,"(1, 1024)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,15.701,"(8, 8)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,15.822,"(16, 16)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,15.951,"(24, 24)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,15.411,"(32, 32)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,15.671,"(1, 64)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,21.552,"(1, 128)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,18.601,"(1, 192)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,18.091,"(1, 256)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,15.711,"(1, 320)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,16.301,"(1, 384)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,15.681,"(1, 448)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,15.772,"(1, 512)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,16.771,"(1, 576)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,16.031,"(1, 640)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,16.231,"(1, 704)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,16.482,"(1, 768)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,15.351,"(1, 832)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,16.291,"(1, 896)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,15.841,"(1, 960)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,15.531,"(1, 1024)","(1680, 1680)"
./data/kernels/14324/0/main.cu,sum,16.631,"(8, 8)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,15.761,"(16, 16)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.261,"(24, 24)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,17.621,"(32, 32)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,15.981,"(1, 64)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,15.491,"(1, 128)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.641,"(1, 192)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.141,"(1, 256)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.011,"(1, 320)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.761,"(1, 384)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.261,"(1, 448)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.211,"(1, 512)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.431,"(1, 576)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.241,"(1, 640)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,15.751,"(1, 704)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.462,"(1, 768)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.021,"(1, 832)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.631,"(1, 896)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,17.312,"(1, 960)","(2024, 2024)"
./data/kernels/14324/0/main.cu,sum,16.781,"(1, 1024)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,15.221,"(8, 8)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.271,"(16, 16)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.051,"(24, 24)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.321,"(32, 32)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,14.941,"(1, 64)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.161,"(1, 128)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.241,"(1, 192)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.471,"(1, 256)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.541,"(1, 320)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.171,"(1, 384)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,17.201,"(1, 448)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.031,"(1, 512)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.191,"(1, 576)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,14.911,"(1, 640)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.051,"(1, 704)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.441,"(1, 768)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.671,"(1, 832)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.371,"(1, 896)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.201,"(1, 960)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.131,"(1, 1024)","(240, 240)"
./data/kernels/14324/1/main.cu,sum,15.551,"(8, 8)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.831,"(16, 16)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.191,"(24, 24)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,17.891,"(32, 32)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.441,"(1, 64)","(496, 496)"
