path,function,time,blocks,matrix
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,23.66,"(32, 32)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.29,"(1, 64)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.58,"(1, 128)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.13,"(1, 192)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.39,"(1, 256)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.38,"(1, 320)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.35,"(1, 384)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.48,"(1, 448)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.131,"(1, 512)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.761,"(1, 576)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.68,"(1, 640)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.56,"(1, 704)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.95,"(1, 768)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.13,"(1, 832)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.32,"(1, 896)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.96,"(1, 960)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.21,"(1, 1024)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,17.99,"(8, 8)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.27,"(16, 16)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,17.73,"(24, 24)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,17.9,"(32, 32)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,17.52,"(1, 64)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.61,"(1, 128)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.05,"(1, 192)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.05,"(1, 256)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.33,"(1, 320)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.29,"(1, 384)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,19.05,"(1, 448)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.08,"(1, 512)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.12,"(1, 576)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.41,"(1, 640)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.3,"(1, 704)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.69,"(1, 768)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,17.44,"(1, 832)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,17.58,"(1, 896)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,18.04,"(1, 960)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,19.18,"(1, 1024)","(240, 240)"
./data/kernels/36/0/main.cu,kLogregCost,17.05,"(8, 8)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,18.22,"(16, 16)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,17.17,"(24, 24)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,18.19,"(32, 32)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,17.4,"(1, 64)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,19.16,"(1, 128)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,17.8,"(1, 192)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,18.01,"(1, 256)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,17.78,"(1, 320)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,18.13,"(1, 384)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,17.86,"(1, 448)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,18.57,"(1, 512)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,18.6,"(1, 576)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,28.07,"(1, 640)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,18.27,"(1, 704)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,17.7,"(1, 768)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,19.12,"(1, 832)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,18.58,"(1, 896)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,17.88,"(1, 960)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,18.24,"(1, 1024)","(496, 496)"
./data/kernels/36/0/main.cu,kLogregCost,18.64,"(8, 8)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,17.78,"(16, 16)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.39,"(24, 24)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,17.86,"(32, 32)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,17.96,"(1, 64)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.79,"(1, 128)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.07,"(1, 192)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.78,"(1, 256)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.79,"(1, 320)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,19.01,"(1, 384)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,17.92,"(1, 448)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,17.891,"(1, 512)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.08,"(1, 576)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.51,"(1, 640)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.56,"(1, 704)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.75,"(1, 768)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.33,"(1, 832)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,17.75,"(1, 896)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.62,"(1, 960)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.46,"(1, 1024)","(784, 784)"
./data/kernels/36/0/main.cu,kLogregCost,18.31,"(8, 8)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.32,"(16, 16)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,19.06,"(24, 24)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,19.08,"(32, 32)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,17.75,"(1, 64)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,19.87,"(1, 128)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.49,"(1, 192)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,17.901,"(1, 256)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.26,"(1, 320)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.53,"(1, 384)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.1,"(1, 448)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,17.85,"(1, 512)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.3,"(1, 576)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,17.89,"(1, 640)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.66,"(1, 704)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.07,"(1, 768)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.02,"(1, 832)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.58,"(1, 896)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.96,"(1, 960)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.56,"(1, 1024)","(1016, 1016)"
./data/kernels/36/0/main.cu,kLogregCost,18.09,"(8, 8)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.72,"(16, 16)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.79,"(24, 24)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,19.39,"(32, 32)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.02,"(1, 64)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.18,"(1, 128)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.48,"(1, 192)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.16,"(1, 256)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.45,"(1, 320)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.32,"(1, 384)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.851,"(1, 448)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.57,"(1, 512)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.0,"(1, 576)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.93,"(1, 640)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.81,"(1, 704)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,17.98,"(1, 768)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.07,"(1, 832)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.58,"(1, 896)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.48,"(1, 960)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,17.93,"(1, 1024)","(1232, 1232)"
./data/kernels/36/0/main.cu,kLogregCost,18.91,"(8, 8)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.99,"(16, 16)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.71,"(24, 24)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.74,"(32, 32)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.01,"(1, 64)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.52,"(1, 128)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.03,"(1, 192)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.09,"(1, 256)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,19.27,"(1, 320)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.14,"(1, 384)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.07,"(1, 448)","(1680, 1680)"
