path,function,time,blocks,matrix
./data/kernels/16910/21/main.cu,average_snips,25.39,"(32, 32)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.58,"(1, 64)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.6,"(1, 128)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.49,"(1, 192)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.32,"(1, 256)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,28.99,"(1, 320)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,25.68,"(1, 384)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.88,"(1, 448)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,25.89,"(1, 512)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.54,"(1, 576)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.64,"(1, 640)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.651,"(1, 704)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.31,"(1, 768)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.23,"(1, 832)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.83,"(1, 896)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,33.15,"(1, 960)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,27.57,"(1, 1024)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,27.15,"(8, 8)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,26.251,"(16, 16)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,26.57,"(24, 24)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,27.99,"(32, 32)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,27.2,"(1, 64)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,26.27,"(1, 128)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,26.33,"(1, 192)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,26.48,"(1, 256)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,27.61,"(1, 320)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,27.33,"(1, 384)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,26.44,"(1, 448)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,25.5,"(1, 512)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,28.121,"(1, 576)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,26.55,"(1, 640)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,25.75,"(1, 704)","(2024, 2024)"
